time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,1.226350,1.286321,-0.001225,0.271499,-0.431994,0.000000,1.000000,0.000000,0.000000,47.122911,44.515145,44.414435,47.054246,0.271499,-0.431994,-0.011628,0.000000
0.100000,1.204377,1.575877,-0.001298,1.381051,-0.260700,0.000000,2.000000,0.000000,0.000000,45.302510,46.341650,46.251621,45.207904,1.381051,-0.260700,0.001722,0.000000
0.150000,1.675661,1.300708,-0.001209,1.860125,0.600491,0.000000,2.000000,0.000000,0.000000,47.621881,46.303502,43.933776,45.246052,1.860125,0.600491,0.002194,0.000000
0.200000,1.873410,0.677925,-0.001098,1.860073,0.314184,0.000000,3.000000,0.000000,0.000000,45.824369,45.880827,45.729763,45.670253,1.860073,0.314184,0.001402,0.000000
0.250000,2.697294,0.438636,-0.000973,2.500274,-0.038708,0.000000,3.000000,0.000000,0.000000,45.041581,47.420462,46.517128,44.126040,2.500274,-0.038708,0.003960,0.000000
0.300000,3.080306,0.293161,-0.000962,2.920558,0.335991,0.000000,4.000000,0.000000,0.000000,46.465248,46.935225,45.090410,44.615854,2.920558,0.335991,0.001626,0.000000
0.350000,3.972630,0.177905,-0.000909,3.359403,0.228795,0.000000,4.000000,0.000000,0.000000,46.631571,44.309148,44.921035,47.243458,3.359403,0.228795,0.000002,0.000000
0.400000,4.604895,-0.030017,-0.000806,3.541060,0.199736,0.000000,5.000000,0.000000,0.000000,47.186999,44.101625,44.367132,47.450980,3.541060,0.199736,0.000486,0.000000
0.450000,5.587401,-0.087696,-0.000724,4.688524,-0.081912,0.000000,5.000000,0.000000,0.000000,47.277028,46.124971,44.274052,45.429160,4.688524,-0.081912,-0.001698,0.000000
0.500000,5.440382,0.100531,-0.000709,5.113324,-0.109726,0.000000,6.000000,0.000000,0.000000,46.475929,45.523766,45.079728,46.025788,5.113324,-0.109726,0.001927,0.000000
0.550000,6.266860,-0.175270,-0.000578,5.429301,0.078155,0.000000,6.000000,0.000000,0.000000,44.202335,47.641718,47.356374,43.904784,5.429301,0.078155,0.004189,0.000000
0.600000,6.622751,-0.310017,-0.000545,5.904882,-0.009748,0.000000,7.000000,0.000000,0.000000,45.310140,47.849241,46.243992,43.701839,5.904882,-0.009748,0.001129,0.000000
0.650000,7.438052,-0.300142,-0.000556,6.919110,0.158392,0.000000,7.000000,0.000000,0.000000,47.304494,45.491722,44.248112,46.060883,6.919110,0.158392,-0.000432,0.000000
0.700000,7.364217,-0.663276,-0.000589,6.954860,0.113830,0.000000,8.000000,0.000000,0.000000,45.665675,46.596475,45.888457,44.954604,6.954860,0.113830,0.000849,0.000000
0.750000,8.006151,-0.388860,-0.000685,7.683458,-0.475379,0.000000,8.000000,0.000000,0.000000,45.255207,46.688029,46.295872,44.867628,7.683458,-0.475379,-0.001823,0.000000
0.800000,8.362955,-0.144743,-0.000769,7.842662,0.211465,0.000000,9.000000,0.000000,0.000000,46.784161,45.357443,44.766918,46.196689,7.842662,0.211465,-0.000795,0.000000
0.850000,9.153310,-0.478441,-0.000622,8.776977,0.460518,0.000000,9.000000,0.000000,0.000000,47.434195,46.610208,44.122988,44.939345,8.776977,0.460518,0.002765,0.000000
0.900000,8.970220,-0.542366,-0.000587,8.930008,0.028305,0.000000,10.000000,0.000000,0.000000,45.754177,44.249638,45.799954,47.301442,8.930008,0.028305,0.001081,0.000000
0.950000,9.851108,-0.610527,-0.000591,9.480874,0.244691,0.000000,10.000000,0.000000,0.000000,45.867094,46.048676,45.690089,45.500877,9.480874,0.244691,0.002642,0.000000
1.000000,10.260261,-0.981974,-0.000481,9.539671,0.067281,0.000000,9.000000,0.000000,0.000000,44.148928,46.399634,47.406729,45.149920,9.539671,0.067281,0.002774,0.000000
1.050000,9.824933,-1.108274,-0.000512,9.303947,0.031727,0.000000,9.000000,0.000000,0.000000,44.914931,46.956588,46.637675,44.597543,9.303947,0.031727,-0.000708,0.000000
1.100000,9.581487,-1.122609,-0.000519,9.301756,0.185244,0.000000,8.000000,0.000000,0.000000,46.041047,45.741970,45.510033,45.810636,9.301756,0.185244,-0.000625,0.000000
1.150000,8.330887,-1.115219,-0.000541,8.670083,-0.181767,0.000000,8.000000,0.000000,0.000000,43.987182,45.706874,47.566949,45.845731,8.670083,-0.181767,0.000156,0.000000
1.200000,7.892893,-0.836127,-0.000483,8.231680,-0.350916,0.000000,7.000000,0.000000,0.000000,46.735332,46.257725,44.820325,45.293355,8.231680,-0.350916,0.001333,0.000000
1.250000,7.258839,-0.171981,-0.000235,7.255877,-0.612892,0.000000,7.000000,0.000000,0.000000,46.486610,45.918975,45.072099,45.627527,7.255877,-0.612892,0.004064,0.000000
1.300000,6.691739,0.092218,-0.000142,7.445728,0.074323,0.000000,6.000000,0.000000,0.000000,45.432212,45.220111,46.123445,46.329442,7.445728,0.074323,0.001850,0.000000
1.350000,5.548699,-0.059772,-0.000273,6.452711,0.095401,0.000000,6.000000,0.000000,0.000000,45.087358,44.522774,46.462196,47.032883,6.452711,0.095401,-0.002294,0.000000
1.400000,5.452704,0.267475,-0.000271,5.891498,-0.416125,0.000000,5.000000,0.000000,0.000000,45.835050,46.472877,45.717556,45.079728,5.891498,-0.416125,-0.000167,0.000000
1.450000,4.869841,0.686857,-0.000106,5.007638,-0.331102,0.000000,5.000000,0.000000,0.000000,44.983597,46.102083,46.572061,45.447471,5.007638,-0.331102,0.002483,0.000000
1.500000,5.155640,1.038776,-0.000190,4.966000,-0.022309,0.000000,4.000000,0.000000,0.000000,46.672770,45.664149,44.878309,45.891508,4.966000,-0.022309,-0.001664,0.000000
1.550000,4.207832,0.982265,-0.000213,4.726915,0.107150,0.000000,4.000000,0.000000,0.000000,45.745022,45.075151,45.809110,46.477455,4.726915,0.107150,0.000853,0.000000
1.600000,3.970776,0.974714,-0.000229,3.809274,0.227035,0.000000,3.000000,0.000000,0.000000,47.394522,44.103151,44.156558,47.449454,3.809274,0.227035,-0.000083,0.000000
1.650000,3.521175,0.616504,-0.000318,3.186776,0.148417,0.000000,3.000000,0.000000,0.000000,44.357977,46.001373,47.193103,45.552758,3.186776,0.148417,-0.001387,0.000000
1.700000,3.441497,0.777368,-0.000333,2.777487,-0.214694,0.000000,2.000000,0.000000,0.000000,46.301976,44.570077,45.250629,46.984054,2.777487,-0.214694,-0.000411,0.000000
1.750000,2.850835,0.984207,-0.000246,2.462298,-0.035165,0.000000,2.000000,0.000000,0.000000,45.070573,46.431678,46.482033,45.120928,2.462298,-0.035165,-0.000372,0.000000
1.800000,2.175080,1.110665,-0.000216,2.573619,-0.224473,0.000000,1.000000,0.000000,0.000000,44.910353,46.291295,46.642252,45.262837,2.573619,-0.224473,-0.000165,0.000000
1.850000,1.242011,1.066863,-0.000173,1.498543,0.129377,0.000000,1.000000,0.000000,0.000000,44.823377,46.463722,46.727703,45.091936,1.498543,0.129377,-0.001937,0.000000
1.900000,0.875602,1.100655,-0.000187,1.335447,0.159848,0.000000,0.000000,0.000000,0.000000,48.213931,44.859998,43.340200,46.692607,1.335447,0.159848,0.000454,0.000000
1.950000,-0.173699,0.453339,-0.000558,0.381238,0.760914,0.000000,0.000000,0.000000,0.000000,46.184482,45.593957,45.358968,45.969329,0.381238,0.760914,-0.007571,0.000000
2.000000,-0.255546,-0.102161,-0.000654,-0.303438,0.339450,0.000000,1.000000,0.000000,0.000000,45.218585,45.665675,46.334020,45.886931,-0.303438,0.339450,-0.000029,0.000000
2.050000,0.328729,-0.411814,-0.000504,0.899671,0.148552,0.000000,1.000000,0.000000,0.000000,47.158007,46.363012,44.397650,45.186542,0.899671,0.148552,0.002089,0.000000
2.100000,0.622603,-0.512430,-0.000475,0.886306,0.108657,0.000000,2.000000,0.000000,0.000000,46.118868,44.534981,45.433738,47.017624,0.886306,0.108657,0.000514,0.000000
